,train_cohort,test_cohort,ROC,PRC,F1,ACC,MCC,mode,best_C,transfer,test_cohort_RGC,positive_transfer,negative_transfer
3575,Snyder,IMmotion150,0.6962250712250712,0.4502816003444891,0.5156249999999999,0.6242424242424243,0.2597209787491439,CD8,0.1,Snyder$\mapsto$IMmotion150,0.5874380165289257,True,False
3576,Snyder,Kim,0.7727272727272727,0.6209649062885536,0.5714285714285714,0.6666666666666666,0.3887106116810924,CD8,0.1,Snyder$\mapsto$Kim,0.6088888888888889,True,False
3577,Snyder,Liu,0.5218033998521803,0.4474543782876705,0.3863636363636363,0.4953271028037383,-0.0390962681919365,CD8,0.1,Snyder$\mapsto$Liu,0.5272949602585378,False,True
3578,Snyder,Freeman,0.5018939393939394,0.4638628874285559,0.48,0.6176470588235294,0.1787960625070697,CD8,0.1,Snyder$\mapsto$Freeman,0.5432525951557093,True,False
3579,Snyder,Miao,0.5,0.2629564879564879,0.3636363636363636,0.5882352941176471,0.0635641726163728,CD8,0.1,Snyder$\mapsto$Miao,0.5847750865051904,True,False
3580,Snyder,Riaz,0.646341463414634,0.4694602612757775,0.3783783783783783,0.5490196078431373,0.168787321477648,CD8,0.1,Snyder$\mapsto$Riaz,0.6847366397539408,False,True
3581,Snyder,Rose,0.589041095890411,0.2215484188859352,0.3703703703703703,0.6179775280898876,0.1874350474884981,CD8,0.1,Snyder$\mapsto$Rose,0.7050877414467871,False,True
3582,Snyder,Ravi-1,0.6188322368421053,0.4569523918969137,0.5176470588235293,0.5980392156862745,0.1826641915139571,CD8,0.1,Snyder$\mapsto$Ravi-1,0.532487504805844,True,False
3583,Snyder,Ravi-2,0.3897058823529412,0.3836382002570461,0.3,0.44,-0.144174197050036,CD8,0.1,Snyder$\mapsto$Ravi-2,0.5648000000000001,False,True
3584,Snyder,Zhao,0.4090909090909091,0.4472861926104288,0.3999999999999999,0.52,0.0067151913668781,CD8,0.1,Snyder$\mapsto$Zhao,0.5072000000000001,True,False
