,loo_sample,feature,exvar
7314,162,Monocyte,0.0030376598626690177
7315,162,Myeloid,0.06905505868641137
7316,162,NKcell,0.030310145985877668
7317,162,Naive_Tcell,0.015628139213809566
7318,162,Neutrophil,0.005331954147808515
7319,162,OS_effect,0.0001707554963392699
7320,162,PLFcell,0.008257781654688934
7321,162,Pancreatic,0.031147886620258358
7322,162,Platelet,0.026049278317672453
7323,162,Pneumocyte,0.030206988230610965
7324,162,Stem,0.0165420285286606
7325,162,Stroma,0.000709023960678401
7326,162,TGFb_pathway,0.07062128828827485
7327,162,TLS,0.008019254689623834
7328,162,TMB,0.11171850134665784
7329,162,Tcell_exclusion,0.03772564439348225
7330,162,Tcell_general,3.5912736363163944e-05
7331,162,Treg,0.0022221862528212233
7332,162,cDC,0.004097233286165292
7333,162,pDC,0.0023553756385535918
7334,162,Reference,0.04360981125462515
7335,163,Adipocyte,0.0011262818181670964
7336,163,Apoptosis_pathway,0.031945409430642946
7337,163,Bcell,0.0033203472787536326
7338,163,CD4_Tcell,0.0004023405293650528
7339,163,CD8_Tcell,0.16172074579745666
7340,163,CPI_Response,0.07052891563331876
7341,163,CPI_effect,0.00901497548533492
7342,163,Cytokine_chemokine,0.008968229288126905
7343,163,Cytotoxic_Tcell,0.013924072035362944
7344,163,Endothelial,0.024026587512894437
7345,163,Epithelial,0.02444989805643505
7346,163,Erythrocyte,0.009733133095182311
7347,163,Exhausted_Tcell,0.046780086740762616
7348,163,Fibroblast,0.00731240404959832
7349,163,Granulocyte,0.02471149617298385
7350,163,Hepatocyte,0.01575883527195998
7351,163,IFNg_pathway,0.1376752198710237
7352,163,Immune_checkpoint,0.020532963563704154
7353,163,Immune_score,0.046878948004192456
7354,163,Innate_lymphoid_cell,0.0003484025202667995
7355,163,Macrophage,0.025820208855763416
7356,163,Mast,0.0017540651885940006
7357,163,Memory_Tcell,0.017501140323399667
7358,163,Mesothelial,0.038642062415970124
7359,163,Monocyte,0.0016838631438891305
7360,163,Myeloid,0.06268682092159605
7361,163,NKcell,0.032602435929655504
7362,163,Naive_Tcell,0.012028979605992807
7363,163,Neutrophil,0.002356071134440807
7364,163,OS_effect,0.00033893476765889385
